0,Lemma,CEFR
1,и,A1
2,в,A1
3,не,A1
4,на,A1
5,я,A1
6,что,A1
7,быть,A1
8,он,A1
9,а,A1
10,это,A1
11,как,A1
12,то,A1
13,этот,A1
14,к,A1
15,они,A1
16,мы,A1
17,она,A1
18,из,A1
19,у,A1
20,вы,A1
21,для,A1
22,от,A1
23,так,A1
24,мочь,A1
25,все,A1
26,ты,A1
27,год,A1
28,человек,A1
29,один,A1
30,такой,A1
31,тот,A1
32,или,A1
33,только,A1
34,его,A1
35,себя,A1
36,время,A1
37,когда,A1
38,другой,A1
39,сказать,A1
40,мой,A1
41,наш,A1
42,говорить,A1
43,знать,A1
44,вот,A1
45,очень,A1
46,нет,A1
47,кто,A1
48,да,A1
49,день,A1
50,можно,A1
51,жизнь,A1
52,два,A1
53,новый,A1
54,раз,A1
55,хотеть,A1
56,должен,A1
57,какой,A1
58,со,A1
59,там,A1
60,их,A1
61,много,A1
62,работа,A1
63,иметь,A1
64,где,A1
65,вопрос,A1
66,рука,A1
67,город,A1
68,ее,A1
69,слово,A1
70,место,A1
71,без,A1
72,ребенок,A1
73,просто,A1
74,друг,A1
75,большой,A1
76,надо,A1
77,ваш,A1
78,сделать,A1
79,идти,A1
80,здесь,A1
81,делать,A1
82,сейчас,A1
83,россия,A1
84,видеть,A1
85,думать,A1
86,хороший,A1
87,глаз,A1
88,тут,A1
89,дом,A1
90,страна,A1
91,работать,A1
92,лицо,A1
93,жить,A1
94,часть,A1
95,женщина,A1
96,голова,A1
97,проблема,A1
98,конец,A1
99,смотреть,A1
100,пока,A1
101,русский,A1
102,три,A1
103,деньги,A1
104,почему,A1
105,понимать,A1
106,москва,A1
107,хорошо,A1
108,час,A1
109,сегодня,A1
110,книга,A1
111,пойти,A1
112,любить,A1
113,высокий,A1
114,нужно,A1
115,твой,A1
116,больше,A1
117,например,A1
118,группа,A1
119,писать,A1
120,сидеть,A1
121,машина,A1
122,стоять,A1
123,имя,A1
124,стоить,A1
125,маленький,A1
126,ответ,A1
127,вода,A1
128,язык,A1
129,далеко,A1
130,нужный,A1
131,давать,A1
132,российский,A1
133,народ,A1
134,ночь,A1
135,оно,A1
136,дверь,A1
137,число,A1
138,следующий,A1
139,написать,A1
140,отец,A1
141,нога,A1
142,старый,A1
143,тысяча,A1
144,месяц,A1
145,минута,A1
146,мало,A1
147,автор,A1
148,начинать,A1
149,свет,A1
150,школа,A1
151,мужчина,A1
152,внимание,A1
153,молодой,A1
154,скоро,A1
155,важный,A1
156,ждать,A1
157,игра,A1
158,читать,A1
159,жена,A1
160,письмо,A1
161,вечер,A1
162,настоящий,A1
163,семья,A1
164,простой,A1
165,вещь,A1
166,утро,A1
167,мать,A1
168,рынок,A1
169,девушка,A1
170,сколько,A1
171,стол,A1
172,улица,A1
173,помнить,A1
174,называть,A1
175,точка,A1
176,нельзя,A1
177,белый,A1
178,опять,A1
179,куда,A1
180,неделя,A1
181,комната,A1
182,цена,A1
183,сын,A1
184,играть,A1
185,заниматься,A1
186,мама,A1
187,лежать,A1
188,пять,A1
189,быстро,A1
190,черный,A1
191,муж,A1
192,ходить,A1
193,окно,A1
194,отвечать,A1
195,плохой,A1
196,сердце,A1
197,просить,A1
198,выходить,A1
199,получать,A1
200,четыре,A1
201,долго,A1
202,красный,A1
203,легко,A1
204,рубль,A1
205,приходить,A1
206,фильм,A1
207,счет,A1
208,спать,A1
209,текст,A1
210,брать,A1
211,документ,A1
212,телефон,A1
213,правый,A1
214,пол,A1
215,купить,A1
216,родитель,A1
217,метр,A1
218,квартира,A1
219,слушать,A1
220,номер,A1
221,класс,A1
222,брат,A1
223,спасибо,A1
224,близкий,A1
225,команда,A1
226,сша,A1
227,мальчик,A1
228,рассказывать,A1
229,сон,A1
230,уходить,A1
231,спрашивать,A1
232,врач,A1
233,ехать,A1
234,нравиться,A1
235,десять,A1
236,палец,A1
237,доллар,A1
238,название,A1
239,дорогой,A1
240,род,A1
241,девочка,A1
242,магазин,A1
243,музыка,A1
244,самолет,A1
245,американский,A1
246,пить,A1
247,институт,A1
248,солнце,A1
249,интернет,A1
250,март,A1
251,гость,A1
252,предложение,A1
253,европа,A1
254,песня,A1
255,гражданин,A1
256,апрель,A1
257,собака,A1
258,компьютер,A1
259,красивый,A1
260,выход,A1
261,входить,A1
262,уметь,A1
263,низкий,A1
264,тяжелый,A1
265,среда,A1
266,помогать,A1
267,сложный,A1
268,короткий,A1
269,бумага,A1
270,ошибка,A1
271,сюда,A1
272,прошлый,A1
273,столько,A1
274,длинный,A1
275,возраст,A1
276,трудно,A1
277,быстрый,A1
278,английский,A1
279,папа,A1
280,учиться,A1
281,спина,A1
282,страница,A1
283,двадцать,A1
284,откуда,A1
285,карта,A1
286,звук,A1
287,господин,A1
288,цвет,A1
289,сесть,A1
290,круг,A1
291,доктор,A1
292,означать,A1
293,дочь,A1
294,пожалуйста,A1
295,республика,A1
296,ставить,A1
297,волос,A1
298,германия,A1
299,называться,A1
300,студент,A1
301,ребята,A1
302,любимый,A1
303,май,A1
304,бежать,A1
305,адрес,A1
306,учитель,A1
307,положить,A1
308,боль,A1
309,плохо,A1
310,банк,A1
311,дома,A1
312,знак,A1
313,завтра,A1
314,январь,A1
315,вчера,A1
316,правильный,A1
317,километр,A1
318,шесть,A1
319,рот,A1
320,больной,A1
321,может,A1
322,победа,A1
323,женский,A1
324,август,A1
325,секунда,A1
326,праздник,A1
327,есть,A1
328,ухо,A1
329,занятие,A1
330,октябрь,A1
331,нос,A1
332,начинаться,A1
333,значить,A1
334,французский,A1
335,правильно,A1
336,сентябрь,A1
337,левый,A1
338,университет,A1
339,лето,A1
340,одежда,A1
341,автомобиль,A1
342,декабрь,A1
343,сестра,A1
344,запад,A1
345,франция,A1
346,июнь,A1
347,темный,A1
348,немец,A1
349,америка,A1
350,холодный,A1
351,февраль,A1
352,рождение,A1
353,площадь,A1
354,станция,A1
355,европейский,A1
356,июль,A1
357,позвонить,A1
358,зеленый,A1
359,сто,A1
360,петь,A1
361,дата,A1
362,семь,A1
363,фотография,A1
364,ноябрь,A1
365,понравиться,A1
366,чай,A1
367,перевод,A1
368,тихо,A1
369,взрослый,A1
370,родиться,A1
371,снег,A1
372,зуб,A1
373,иностранный,A1
374,сосед,A1
375,украина,A1
376,прочитать,A1
377,понятный,A1
378,падать,A1
379,кухня,A1
380,покупать,A1
381,прошлое,A1
382,пиво,A1
383,богатый,A1
384,согласный,A1
385,библиотека,A1
386,здоровый,A1
387,умный,A1
388,открывать,A1
389,ученик,A1
390,бутылка,A1
391,уехать,A1
392,рисунок,A1
393,дождь,A1
394,восток,A1
395,трудный,A1
396,хлеб,A1
397,бабушка,A1
398,снимать,A1
399,опасный,A1
400,кожа,A1
401,учить,A1
402,зима,A1
403,экран,A1
404,здравствовать,A1
405,переход,A1
406,кровать,A1
407,урок,A1
408,родина,A1
409,вино,A1
410,бедный,A1
411,этаж,A1
412,объяснять,A1
413,выбирать,A1
414,горячий,A1
415,подруга,A1
416,весна,A1
417,тридцать,A1
418,рыба,A1
419,ключ,A1
420,теплый,A1
421,фамилия,A1
422,включать,A1
423,захотеть,A1
424,кресло,A1
425,восемь,A1
426,серый,A1
427,кино,A1
428,подарок,A1
